TransporterID	Gene_name	Protein_Name_generally	Gene_id	Uniprot ID	TCDB ID
DTD0346	SLC39A5	Zrt- and Irt-like protein 5	283375	Q6ZMH5	2.A.5.4.10
DTD0326	SLC38A1	Sodium-coupled neutral amino acid transporter 1	81539	Q9H2H9	2.A.18.6.14
DTD0020	SLC10A2	Apical sodium-dependent bile acid transporter	6555	Q12908	2.A.28.1.2
DTD0367	SLC44A5	Choline transporter-like protein 5	204962	Q8NCS7	2.A.92.1.5
DTD0037	ABCA10	ATP-binding cassette sub-family A member 10	10349	Q8WWZ4	3.A.1.211.17
DTD0044	ABCA6	ATP-binding cassette sub-family A member 6	23460	Q8N139	3.A.1.211.15
DTD0022	SLC15A2	Peptide transporter 2	6565	Q16348	2.A.17.4.8
DTD0296	SLC35C1	GDP-fucose transporter 1	55343	Q96A29	2.A.7.16.1
DTD0543	KCNN1	Small conductance calcium-activated potassium channel protein 1	3780	Q92952	1.A.1.16.6
DTD0388	SLC4A8	Electroneutral sodium bicarbonate exchanger 1	9498	Q2Y0W8	2.A.31.2.4
DTD0102	SLC16A11	Monocarboxylate transporter 11	162515	Q8NCK7	2.A.1.13.13
DTD0167	SLC25A1	Tricarboxylate transport protein	6576	P53007	2.A.29.7.2
DTD0098	SLC15A3	Peptide/histidine transporter 2	51296	Q8IY34	2.A.17.3.9
DTD0533	ATP7B	Copper-transporting ATPase 2	540	P35670	3.A.3.5.3
DTD0121	SLC17A8	Vesicular glutamate transporter 3	246213	Q8NDX2	2.A.1.14.32
DTD0341	SLC39A13	Zrt- and Irt-like protein 13	91252	Q96H72	2.A.5.4.12
DTD0085	SLC12A4	Electroneutral potassium-chloride cotransporter 1	6560	Q9UP95	2.A.30.1.17
DTD0449	SLC6A17	Sodium-dependent neurotransmitter transporter	388662	Q9H1V8	2.A.22.6.6
DTD0447	SLC6A15	Sodium-dependent neutral amino acid transporter B(0)AT2	55117	Q9H2J7	2.A.22.6.7
DTD0061	ABCC8	Sulfonylurea receptor 1	6833	Q09428	3.A.1.208.4
DTD0502	SLCO4A1	Organic anion transporting polypeptide 4A1	28231	Q96BD0	2.A.60.1.9
DTD0100	SLC16A1	Monocarboxylate transporter 1	6566	P53985	2.A.1.13.1
DTD0111	SLC16A7	Monocarboxylate transporter 2	9194	O60669	2.A.1.13.5
DTD0109	SLC16A5	Monocarboxylate transporter 6	9121	O15375	2.A.1.13.11
DTD0009	SLC22A3	Organic cation transporter 3	6581	O75751	2.A.1.19.24
DTD0262	SLC2A4	Glucose transporter type 4	6517	P14672	2.A.1.1.80
DTD0286	SLC34A3	Sodium-dependent phosphate transport protein 2C	142680	Q8N130	2.A.58.1.3
DTD0088	SLC12A7	Electroneutral potassium-chloride cotransporter 4	10723	Q9Y666	2.A.30.1.16
DTD0006	SLC22A2	Organic cation transporter 2	6582	O15244	2.A.1.19.30
DTD0010	SLC22A1	Organic cation transporter 1	6580	O15245	2.A.1.19.29
DTD0063	ABCD1	Adrenoleukodystrophy protein	215	P33897	3.A.1.203.3
DTD0510	KCNH2	Voltage-gated potassium channel Kv11.1	3757	Q12809	1.A.1.20.1
DTD0531	KCNH7	Voltage-gated potassium channel Kv11.3	90134	Q9NS40	1.A.1
DTD0469	SLC7A3	Cationic amino acid transporter 3	84889	Q8WY07	2.A.3.3.10
DTD0264	SLC2A6	Glucose transporter type 6	11182	Q9UGQ3	2.A.1.1.88
DTD0501	SLCO3A1	Organic anion transporting polypeptide 3A1	28232	Q9UIG8	2.A.60.1.18
DTD0114	SLC17A1	Sodium-dependent phosphate transport protein 1	6568	Q14916	2.A.1.14.27
DTD0122	SLC17A9	Solute carrier family 17 member 9	63910	Q9BYT1	2.A.1.14.21
DTD0060	ABCC7	Cystic fibrosis transmembrane conductance regulator	1080	P13569	3.A.1.202.1
DTD0253	SLC2A11	Glucose transporter type 11	66035	Q9BYW1	2.A.1.1.44
DTD0078	SLC10A6	Sodium-dependent organic anion transporter	345274	Q3KNW5	2.A.28.1.4
DTD0238	SLC27A1	Fatty acid transport protein 1	376497	Q6PCB7	4.C.1.1.9
DTD0158	SLC23A1	Sodium-dependent vitamin C transporter 1	9963	Q9UHI7	2.A.40.6.5
DTD0423	SLC5A3	Sodium/myo-inositol cotransporter	6526	P53794	2.A.21.3.14
DTD0151	SLC22A4	Organic cation/carnitine transporter 1	6583	Q9H015	2.A.1.19.2
DTD0023	SLC22A5	Organic cation/carnitine transporter 2	6584	O76082	2.A.1.19.3
DTD0184	SLC25A23	Calcium-binding mitochondrial carrier protein SCaMC-3	79085	Q9BV35	2.A.29.23.5
DTD0046	ABCA8	ATP-binding cassette sub-family A member 8	10351	O94911	3.A.1.211.6
DTD0079	SLC10A7	Sodium/bile acid cotransporter 7	84068	Q0GE19	2.A.28.3.1
DTD0055	ABCB9	TAP-like protein	23457	Q9NP78	3.A.1.209.2
DTD0524	CACNG3	Voltage-dependent calcium channel gamma-3	10368	O60359	8.A.16.2.2
DTD0295	SLC35B4	UDP-xylose and UDP-N-acetylglucosamine transporter	84912	Q969S0	2.A.7.10.2
DTD0164	SLC24A3	Sodium/potassium/calcium exchanger 3	57419	Q9HC58	2.A.19.4.10
DTD0300	SLC35D3	Fringe connection-like protein 1	340146	Q5M8T2	2.A.7.15.5
DTD0118	SLC17A5	Vesicular H(+)/Aspartate-glutamate cotransporter	26503	Q9NRA2	2.A.1.14.10
DTD0323	SLC37A2	Glucose-6-phosphate exchanger SLC37A2	219855	Q8TED4	2.A.1.4.8
DTD0547	KCNK4	Potassium channel subfamily K member 4	50801	Q9NYG8	.
DTD0182	SLC25A21	Mitochondrial 2-oxodicarboxylate carrier	89874	Q9BQT8	2.A.29.2.4
DTD0097	SLC14A2	Urea transporter 2	8170	Q15849	1.A.28.1.6
DTD0014	ABCB11	Bile salt export pump	8647	O95342	3.A.1.201.2
DTD0403	SLC56A1	Sideroflexin-1	94081	Q9H9B4	2.A.54.1.1
DTD0461	SLC6A9	Sodium- and chloride-dependent glycine transporter 1	6536	P48067	2.A.22.2.12
DTD0429	SLC5A9	Sodium/glucose cotransporter 4	200010	Q2M3M2	2.A.21.3.17
DTD0047	ABCA9	ATP-binding cassette sub-family A member 9	10350	Q8IUA7	3.A.1.211.16
DTD0455	SLC6A3	Sodium-dependent dopamine transporter	6531	Q01959	2.A.22.1.3
DTD0406	SLC56A4	Sideroflexin-4	119559	Q6P4A7	2.A.54.1.3
DTD0082	SLC12A1	Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2	6557	Q13621	2.A.30.1.2
DTD0062	ABCC9	Sulfonylurea receptor 2	10060	O60706	3.A.1.208.23
DTD0373	SLC46A2	Thymic stromal cotransporter homolog	57864	Q9BY10	2.A.1.50.2
DTD0282	SLC33A1	Acetyl-coenzyme A transporter 1	9197	O00400	2.A.1.25.1
DTD0409	SLC57A2	Magnesium transporter NIPA2	81614	Q8N8Q9	2.A.7.25.2
DTD0237	SLC26A9	Anion transporter/exchanger protein 9	115019	Q7LBE3	2.A.53.2.15
DTD0198	SLC25A36	Solute carrier family 25 member 36	55186	Q96CQ1	2.A.29.10.6
DTD0382	SLC4A11	Sodium bicarbonate transporter-like protein 11	83959	Q8NBS3	2.A.31.4.1
DTD0255	SLC2A13	Proton myo-inositol cotransporter	114134	Q96QE2	2.A.1.1.25
DTD0086	SLC12A5	Electroneutral potassium-chloride cotransporter 2	57468	Q9H2X9	2.A.30.1.18
DTD0160	SLC23A3	Na(+)/L-ascorbic acid transporter 3	151295	Q6PIS1	2.A.40.6.4
DTD0383	SLC4A2	Anion exchange protein 2	6522	P04920	2.A.31.1.2
DTD0230	SLC26A2	Sulfate transporter	1836	P50443	2.A.53.2.1
DTD0134	SLC1A6	Excitatory amino acid transporter 4	6511	P48664	2.A.23.2.8
DTD0354	SLC41A1	Magnesium transporter protein solute carrier family 41 member 1	254428	Q8IVJ1	1.A.26.2.1
DTD0004	ABCG2	Breast cancer resistance protein	9429	Q9UNQ0	3.A.1.204.2
DTD0522	CACNB4	Voltage-dependent L-type calcium channel beta-4	785	O00305	8.A.22.1.4
DTD0498	SLC9C2	Sodium/hydrogen exchanger 11	284525	Q5TAH2	2.A.36.7.4
DTD0043	ABCA5	ATP-binding cassette sub-family A member 5	23461	Q8WWZ7	3.A.1.211.9
DTD0117	SLC17A4	Probable small intestine urate exporter	10050	Q9Y2C5	2.A.1.14.24
DTD0318	SLC36A1	Proton-coupled amino acid transporter 1	206358	Q7Z2H8	2.A.18.8.7
DTD0542	ANXA2	Annexin A2	302	P07355	1.A.31.1.4
DTD0290	SLC35A4	Probable UDP-sugar transporter protein SLC35A4	113829	Q96G79	2.A.7.12.12
DTD0426	SLC5A6	Sodium-dependent multivitamin transporter	8884	Q9Y289	2.A.21.5.7
DTD0188	SLC25A27	Mitochondrial uncoupling protein 4	9481	O95847	2.A.29.24.3
DTD0319	SLC36A2	Proton-coupled amino acid transporter 2	153201	Q495M3	2.A.18.8.6
DTD0514	ANXA11	Annexin A11	311	P50995	3.A.5.9.1
DTD0327	SLC38A10	Putative sodium-coupled neutral amino acid transporter 10	124565	Q9HBR0	2.A.18.6.16
DTD0443	SLC6A11	Sodium- and chloride-dependent GABA transporter 3	6538	P48066	2.A.22.3.9
DTD0299	SLC35D2	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter	11046	Q76EJ3	2.A.7.15.1
DTD0213	SLC25A5	Adenine nucleotide translocator 2	292	P05141	2.A.29.1.1
DTD0257	SLC2A2	Glucose transporter type 2	6514	P11168	2.A.1.1.29
DTD0530	CACNA1H	Voltage-gated calcium channel alpha Cav3.2	8912	O95180	1.A.1.11.5
DTD0222	SLC25A6	Adenine nucleotide translocator 3	293	P12236	2.A.29.1.10
DTD0025	SLC22A8	Organic anion transporter 3	9376	Q8TCC7	2.A.1.19.34
DTD0235	SLC26A7	Anion exchange transporter	115111	Q8TE54	2.A.53.2.6
DTD0080	SLC11A1	Natural resistance-associated macrophage protein 1	6556	P49279	2.A.55.2.3
DTD0194	SLC25A32	Mitochondrial folate transporter/carrier	81034	Q9H2D1	2.A.29.10.2
DTD0064	ABCD2	Adrenoleukodystrophy-like 1	225	Q9UBJ2	3.A.1.203.7
DTD0177	SLC25A18	Mitochondrial glutamate carrier 2	83733	Q9H1K4	2.A.29.14.5
DTD0131	SLC1A3	Excitatory amino acid transporter 1	6507	P43003	2.A.23.2.6
DTD0355	SLC41A2	Magnesium transporter protein solute carrier family 41 member 2	84102	Q96JW4	1.A.26.2.2
DTD0266	SLC2A8	Glucose transporter type 8	29988	Q9NY64	2.A.1.1.89
DTD0089	SLC12A8	Cation-chloride cotransporter 9	84561	A0AV02	2.A.30.1.7
DTD0110	SLC16A6	Monocarboxylate transporter 7	9120	O15403	2.A.1.13.15
DTD0353	SLC40A1	Iron-regulated transporter 1	30061	Q9NP59	2.A.100.1.4
DTD0057	ABCC11	Multidrug resistance-associated protein 8	85320	Q96J66	3.A.1.208.13
DTD0247	SLC29A1	Equilibrative nucleoside transporter 1	2030	Q99808	2.A.57.1.1
DTD0133	SLC1A5	Alanine/serine/cysteine/threonine transporter 2	6510	Q15758	2.A.23.3.3
DTD0517	ATP5E	ATP synthase subunit epsilon	514	P56381	3.A.3
DTD0474	SLC7A7	Y+L amino acid transporter 1	9056	Q9UM01	2.A.3.8.22
DTD0225	SLC25A8	Mitochondrial uncoupling protein 2	7351	P55851	2.A.29.3.4
DTD0226	SLC25A9	Mitochondrial uncoupling protein 3	7352	P55916	2.A.29.3.5
DTD0178	SLC25A19	Mitochondrial thiamine pyrophosphate carrier	60386	Q9HC21	2.A.29.16.1
DTD0433	SLC62A1	Progressive ankylosis protein homolog	56172	Q9HCJ1	2.A.66.9.1
DTD0344	SLC39A3	Zrt- and Irt-like protein 3	29985	Q9BRY0	2.A.5.3.3
DTD0081	SLC11A2	Natural resistance-associated macrophage protein 2	4891	P49281	2.A.55.2.1
DTD0481	SLC9A1	Sodium/hydrogen exchanger 1	6548	P19634	2.A.36.1.13
DTD0101	SLC16A10	Monocarboxylate transporter 10	117247	Q8TF71	2.A.1.13.8
DTD0377	SLC49A2	Feline leukemia virus subgroup C receptor-related protein 2	55640	Q9UPI3	2.A.1.28.4
DTD0534	CACNA1C	Voltage-gated calcium channel alpha Cav1.2	775	Q13936	1.A.1.11.4
DTD0135	SLC1A7	Excitatory amino acid transporter 5	6512	O00341	2.A.23.2.5
DTD0126	SLC19A1	Folate transporter 1	6573	P41440	2.A.48.1.1
DTD0254	SLC2A12	Glucose transporter type 12	154091	Q8TD20	2.A.1.1.87
DTD0535	CACNB2	Voltage-dependent L-type calcium channel beta-2	783	Q08289	8.A.22.1.2
DTD0519	CACNA1B	Voltage-gated calcium channel alpha Cav2.2	774	Q00975	1.A.1
DTD0464	SLC7A11	Cystine/glutamate transporter	23657	Q9UPY5	2.A.3.8.18
DTD0451	SLC6A19	Sodium-dependent neutral amino acid transporter B(0)AT1	340024	Q695T7	2.A.22.6.3
DTD0052	ABCB6	ATP-binding cassette sub-family B member 6	10058	Q9NP58	3.A.1.210.6
DTD0483	SLC9A3	Sodium/hydrogen exchanger 3	6550	P48764	2.A.36.1.15
DTD0477	SLC8A1	Sodium/calcium exchanger 1	6546	P32418	2.A.19.3.4
DTD0105	SLC16A14	Monocarboxylate transporter 14	151473	Q7RTX9	2.A.1.13.12
