TransporterID	Protein_Name_generally	Experimental material_change	Endogenous_Metabolite_ID	Endogenous_Metabolite_Name
DTD0453	Sodium/imino-acid transporter 1	Unclear experiment used for identifying this EM	EM00121	L-proline
DTD0453	Sodium/imino-acid transporter 1	Unclear experiment used for identifying this EM	EM00007	Glycine betaine
DTD0005	Organic anion transporter 2	Unclear experiment used for identifying this EM	EM00200	Amino acid unspecific
DTD0056	Multidrug resistance-associated protein 7	Unclear experiment used for identifying this EM	EM00161	Estradiol-17beta-glucuronide
DTD0057	Multidrug resistance-associated protein 8	Unclear experiment used for identifying this EM	EM00160	Leukotriene C4
DTD0439	Niemann-Pick C1-like protein 1	Unclear experiment used for identifying this EM	EM00195	Lipoprotein unspecific
DTD0113	Monocarboxylate transporter 9	Unclear experiment used for identifying this EM	EM00181	Acylcarnitine C5
DTD0006	Organic cation transporter 2	Unclear experiment used for identifying this EM	EM00091	1-methyl-4-phenylpyridinium
DTD0180	Carnitine/acylcarnitine translocase	Unclear experiment used for identifying this EM	EM00143	LysoPC(18:0)
DTD0180	Carnitine/acylcarnitine translocase	Unclear experiment used for identifying this EM	EM00180	LysoPC(20:1)
DTD0180	Carnitine/acylcarnitine translocase	Unclear experiment used for identifying this EM	EM00102	Sphinganine
DTD0180	Carnitine/acylcarnitine translocase	Unclear experiment used for identifying this EM	EM00116	Phytosphingosine
DTD0180	Carnitine/acylcarnitine translocase	Unclear experiment used for identifying this EM	EM00008	Carnitine
DTD0180	Carnitine/acylcarnitine translocase	Unclear experiment used for identifying this EM	EM00011	Palmitoylcarnitine
DTD0030	Organic anion transporting polypeptide 1B3	Unclear experiment used for identifying this EM	EM00209	Hormone metabolite unspecific
DTD0008	Organic anion transporting polypeptide 1B1	Unclear experiment used for identifying this EM	EM00209	Hormone metabolite unspecific
DTD0251	Glucose transporter type 1	Unclear experiment used for identifying this EM	EM00156	3-hydroxybutyrate
DTD0014	Bile salt export pump	Unclear experiment used for identifying this EM	EM00161	Estradiol-17beta-glucuronide
DTD0030	Organic anion transporting polypeptide 1B3	Unclear experiment used for identifying this EM	EM00204	Triiodothyronine
DTD0030	Organic anion transporting polypeptide 1B3	Unclear experiment used for identifying this EM	EM00223	Thyroxine
DTD0008	Organic anion transporting polypeptide 1B1	Unclear experiment used for identifying this EM	EM00204	Triiodothyronine
DTD0008	Organic anion transporting polypeptide 1B1	Unclear experiment used for identifying this EM	EM00223	Thyroxine
DTD0030	Organic anion transporting polypeptide 1B3	Unclear experiment used for identifying this EM	EM00205	Bile salt unspecific
DTD0008	Organic anion transporting polypeptide 1B1	Unclear experiment used for identifying this EM	EM00205	Bile salt unspecific
DTD0052	ATP-binding cassette sub-family B member 6	Unclear experiment used for identifying this EM	EM00095	Porphyrin
DTD0006	Organic cation transporter 2	Unclear experiment used for identifying this EM	EM00072	Tryptophan
DTD0028	Multidrug and toxin extrusion protein 2	Unclear experiment used for identifying this EM	EM00065	Testosterone
DTD0258	Glucose transporter type 3	Unclear experiment used for identifying this EM	EM00060	Glucose
DTD0006	Organic cation transporter 2	Unclear experiment used for identifying this EM	EM00051	Haloperidol
DTD0114	Sodium-dependent phosphate transport protein 1	Unclear experiment used for identifying this EM	EM00043	Urate
DTD0095	Sodium-coupled citrate transporter	Unclear experiment used for identifying this EM	EM00010	Citrate
